dcterms:title,dcterms:creator,dcterms:source,dcterms:identifier,bibo:affirmedBy,dcterms:date,curation:tag,dcterms:alternative,dcterms:type,dcterms:identifier,dcterms:modified
灣丘,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_327.jpg,臺灣總督府,明治三十七年調製,327,灣坵,Image,327,大正十年十月訂正
三腳南山,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_326.jpg,臺灣總督府,明治三十七年調製,326,三腳南山,Image,326,大正十年十月訂正
大埔,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_325.jpg,臺灣總督府,明治三十七年調製,325,後大埔,Image,325,大正十年十月訂正
土灣,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_324.jpg,臺灣總督府,明治三十七年調製,324,土灣,Image,324,大正十年十月訂正
上荖濃,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_323.jpg,臺灣總督府,明治三十七年調製,323,上荖濃,Image,323,大正十年十月訂正
大竹溪山,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_322.jpg,臺灣總督府,明治三十七年調製,322,大竹溪山,Image,322,大正十年十月訂正
頂平林,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_321.jpg,臺灣總督府,明治三十七年調製,321,頂平林,Image,321,大正十年十月訂正
簡子社,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_320.jpg,臺灣總督府,明治三十七年調製,320,簡仔社,Image,320,大正十年十月訂正
上荖濃東部,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_318.jpg,臺灣總督府,明治三十七年調製,318,上荖濃東部,Image,318,大正十年十月訂正
水上,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_267.jpg,臺灣總督府,明治三十七年調製,267,水堀頭,Image,267,大正十年十月訂正
白河,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_263.jpg,臺灣總督府,明治三十七年調製,263,店仔口,Image,263,大正十年十月訂正
三界埔,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_262.jpg,臺灣總督府,明治三十七年調製,262,三界埔,Image,262,大正十年十月訂正
嘉義,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_261.jpg,臺灣總督府,明治三十七年調製,261,嘉義,Image,261,大正十年十月訂正
民雄,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_260.jpg,臺灣總督府,明治三十七年調製,260,打,Image,260,大正十年十月訂正
凍子腳,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_258.jpg,臺灣總督府,明治三十七年調製,258,凍仔腳,Image,258,大正十年十月訂正
中埔,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_257.jpg,臺灣總督府,明治三十七年調製,257,中埔,Image,257,大正十年十月訂正
竹崎,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_256.jpg,臺灣總督府,明治三十七年調製,256,竹頭崎,Image,256,大正十年十月訂正
小梅,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_255.jpg,臺灣總督府,明治三十七年調製,255,梅仔坑,Image,255,大正十年十月訂正
崁頭厝,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_254.jpg,臺灣總督府,明治三十七年調製,254,崁頭厝,Image,254,大正十年十月訂正
勃子社,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_253.jpg,臺灣總督府,明治三十七年調製,253,勃仔社,Image,253,大正十年十月訂正
公田,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_252.jpg,臺灣總督府,明治三十七年調製,252,公田,Image,252,大正十年十月訂正
金獅寮,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_251.jpg,臺灣總督府,明治三十七年調製,251,金獅,Image,251,大正十年十月訂正
龍眼林,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_250.jpg,臺灣總督府,明治三十七年調製,250,龍眼林,Image,250,大正十年十月訂正
勞水坑,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_249.jpg,臺灣總督府,明治三十七年調製,249,勞水坑,Image,249,大正十年十月訂正
頂笨社,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_248.jpg,臺灣總督府,明治三十七年調製,248,頂笨社,Image,248,大正十年十月訂正
達邦社,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_247.jpg,臺灣總督府,明治三十七年調製,247,達邦社,Image,247,大正十年十月訂正
柴社,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_246.jpg,臺灣總督府,明治三十七年調製,246,柴社,Image,246,大正十年十月訂正
社後坪,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_245.jpg,臺灣總督府,明治三十七年調製,245,社後坪,Image,245,大正十年十月訂正
嶺頭山,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_244.jpg,臺灣總督府,明治三十七年調製,244,嶺頭山,Image,244,大正十年十月訂正
飯包服山,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_242.jpg,臺灣總督府,明治三十七年調製,242,飯包服山,Image,242,大正十年十月訂正
和社,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_241.jpg,臺灣總督府,明治三十七年調製,241,和社,Image,241,大正十年十月訂正
斗六,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_194.jpg,臺灣總督府,明治三十七年調製,194,斗六,Image,194,大正十年十月訂正
樹子腳,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_193.jpg,臺灣總督府,明治三十七年調製,193,樹仔腳,Image,193,大正十年十月訂正
麻園,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_189.jpg,臺灣總督府,明治三十七年調製,189,園,Image,189,大正十年十月訂正
竹山,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_188.jpg,臺灣總督府,明治三十七年調製,188,林圯埔,Image,188,大正十年十月訂正
牛衝,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_085.jpg,臺灣總督府,明治三十七年調製,085,牛衝,Image,85,大正十年十月訂正
三星,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_084.jpg,臺灣總督府,明治三十七年調製,084,叭哩沙,Image,84,大正十年十月訂正
大白山,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_083.jpg,臺灣總督府,明治三十七年調製,083,大白山,Image,83,大正十年十月訂正
